,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
226426_at,-0.337628762,2.938387444,-2.152378466,0.038580589,0.595000149,-3.663438468,ADNP
215167_at,-0.477428324,5.283185168,-2.152207964,0.038595037,0.595000149,-3.663715594,MED14
1561969_at,-0.259342557,2.15616762,-2.152125114,0.03860206,0.595000149,-3.66385025,ZPLD1
236402_at,-0.55472019,5.422574072,-2.15198649,0.038613812,0.595000149,-3.664075545,BRAF
215404_x_at,0.22023902,7.006252981,2.151845981,0.038625727,0.595000149,-3.664303892,FGFR1
204525_at,-0.528451817,2.636770593,-2.151641779,0.03864305,0.595000149,-3.664635733,PHF14
230411_at,-0.445466336,3.521439924,-2.151597137,0.038646838,0.595000149,-3.664708275,UBE2V2
1559995_at,0.233666048,3.291230988,2.151350423,0.038667777,0.595000149,-3.665109162,SAMD14
209786_at,-0.70472848,5.09993295,-2.151313744,0.038670891,0.595000149,-3.66516876,HMGN4
36554_at,0.467001653,6.001433381,2.151081145,0.038690644,0.595000149,-3.665546678,ASMTL
207358_x_at,0.325248267,7.468014979,2.15101318,0.038696417,0.595000149,-3.665657098,MACF1
1565483_at,1.031266724,3.336263316,2.150870546,0.038708536,0.595000149,-3.665888826,EGFR
1559124_at,0.251615059,1.75672366,2.150766638,0.038717366,0.595000149,-3.666057629,PDE7B-AS1
207993_s_at,-0.344240242,6.68890087,-2.150736826,0.0387199,0.595000149,-3.666106059,CHP1
1553072_at,0.237386869,2.067793668,2.150363095,0.038751677,0.595072746,-3.66671315,BNIPL
219681_s_at,0.264975964,2.217845954,2.150191205,0.038766301,0.595072746,-3.666992344,RAB11FIP1
237712_at,0.242035759,2.255253012,2.150169358,0.03876816,0.595072746,-3.667027828,LOC100507562
203151_at,-0.277369628,8.770310129,-2.149671408,0.038810551,0.595307206,-3.667836531,MAP1A
1569849_at,0.207759492,1.452663213,2.149606279,0.038816099,0.595307206,-3.667942295,LOC102723831
215014_at,-0.25438106,2.059836222,-2.14942869,0.038831229,0.59530902,-3.668230672,KCND3
235823_at,0.330813477,4.079848868,2.149045026,0.038863935,0.59530902,-3.668853625,ACSF3
206179_s_at,-0.32954924,9.331964458,-2.149000879,0.038867699,0.59530902,-3.668925301,TPPP
206456_at,-0.515597355,5.27315327,-2.148867334,0.03887909,0.59530902,-3.669142115,GABRA5
219293_s_at,-0.336186572,7.078048896,-2.14871635,0.038891972,0.59530902,-3.669387231,OLA1
237475_x_at,0.2063962,7.94427232,2.148635228,0.038898895,0.59530902,-3.669518923,CCDC152
227797_x_at,0.215468015,6.604900241,2.148583358,0.038903322,0.59530902,-3.669603126,LYRM2
211200_s_at,0.447173241,5.981976967,2.148118967,0.038942978,0.595519498,-3.670356931,EFCAB2
209550_at,-0.393674681,7.820719141,-2.14811209,0.038943565,0.595519498,-3.670368093,NDN
239359_at,-0.380093334,3.696630098,-2.148039668,0.038949753,0.595519498,-3.670485639,MARCHF11
1553024_at,-0.268121509,1.474484318,-2.147622414,0.038985419,0.59587583,-3.671162811,DAOA-AS1
201270_x_at,-0.176867717,6.291765657,-2.146914809,0.039045971,0.596490206,-3.672310987,NUDCD3
201645_at,0.491220398,4.307679728,2.146380199,0.039091774,0.596582744,-3.673178276,TNC
221931_s_at,-0.424212809,6.712694446,-2.145827601,0.039139168,0.596582744,-3.674074582,SEH1L
202843_at,-0.332156808,3.353830033,-2.1457318,0.03914739,0.596582744,-3.674229954,DNAJB9
